node_1,node_2,
132,73,0.03030303
132,74,0.008403361
132,11,0.044776119
132,12,0.054545455
132,99,0.044444444
132,98,0.016393443
132,153,0.04
132,80,0.027777778
132,79,0.066666667
132,59,0.033333333
132,56,0.090909091
132,82,0.088
132,87,0.048484848
132,154,0.029411765
132,58,0.006329114
132,84,0.096069869
132,48,0.005076142
132,26,0.093959732
132,142,0.027777778
132,88,0.022222222
132,89,0.084745763
132,155,0.028571429
132,90,0.038961039
132,133,0.029411765
132,91,0.018867925
132,35,0.010638298
132,92,0.0625
132,93,0.081967213
132,156,0.03125
132,49,0.01242236
132,39,0.028571429
132,60,0.026315789
132,97,0.103174603
132,76,0.111111111
132,157,0.033333333
132,134,0.025
1,158,0.00952381
1,74,0.011235955
1,43,0.333333333
1,92,0.008196721
1,82,0.00952381
1,20,0.007633588
1,84,0.004545455
18,5,0.011494253
18,31,0.25
18,32,0.02173913
18,158,0.009615385
18,20,0.007692308
18,21,0.1
18,16,0.008695652
18,37,0.006329114
47,106,0.033333333
47,48,0.012048193
47,49,0.007575758
50,159,0.142857143
50,48,0.02994012
50,12,0.006802721
50,92,0.007936508
50,49,0.037878788
50,82,0.009174312
50,56,0.007751938
50,76,0.009708738
50,99,0.00877193
50,160,0.166666667
50,97,0.008928571
50,106,0.029411765
50,143,0.142857143
50,84,0.004464286
50,62,0.04
50,54,0.083333333
161,48,0.006024096
161,162,0.333333333
161,49,0.007633588
161,59,0.033333333
161,54,0.142857143
161,163,0.5
159,106,0.033333333
159,49,0.007575758
159,54,0.125
159,48,0.012048193
139,60,0.041666667
139,5,0.011111111
139,61,0.009009009
139,164,0.022222222
139,7,0.009009009
139,22,0.016129032
139,10,0.015151515
139,165,0.02020202
139,19,0.011627907
139,41,0.017094017
139,20,0.007518797
139,58,0.015503876
139,77,0.024390244
139,166,0.009708738
139,23,0.007407407
139,153,0.020408163
139,25,0.013793103
139,15,0.016806723
19,28,0.011904762
19,5,0.133333333
19,31,0.011627907
19,32,0.12173913
19,158,0.230263158
19,13,0.042105263
19,20,0.314814815
19,34,0.246987952
19,21,0.021978022
19,16,0.285714286
19,167,0.02
19,37,0.169902913
19,46,0.073684211
56,2,0.003861004
56,6,0.009803922
56,7,0.004329004
56,74,0.039215686
56,10,0.003952569
56,11,0.389221557
56,12,0.266666667
56,98,0.076923077
56,15,0.008368201
56,77,0.014925373
56,153,0.00591716
56,17,0.006896552
56,79,0.055214724
56,80,0.0078125
56,59,0.033557047
56,82,0.1875
56,55,0.008695652
56,154,0.007936508
56,58,0.008032129
56,22,0.004081633
56,23,0.015873016
56,84,0.294339623
56,26,0.231884058
56,35,0.005376344
56,87,0.210045662
56,142,0.0078125
56,164,0.004739336
56,166,0.013574661
56,89,0.157894737
56,127,0.007751938
56,155,0.007874016
56,90,0.061728395
56,61,0.004329004
56,133,0.038461538
56,91,0.057971014
56,88,0.037593985
56,134,0.031007752
56,160,0.008064516
56,93,0.237569061
56,49,0.007905138
56,95,0.007751938
56,136,0.007246377
56,60,0.03030303
56,25,0.003759398
56,92,0.195121951
56,165,0.00913242
56,97,0.137931034
56,76,0.226519337
56,157,0.12804878
56,99,0.125603865
23,2,0.252336449
23,4,0.028985507
23,73,0.007518797
23,7,0.15942029
23,9,0.190954774
23,74,0.157894737
23,10,0.27184466
23,11,0.025641026
23,12,0.02238806
23,14,0.101123596
23,76,0.013215859
23,15,0.226600985
23,77,0.13368984
23,105,0.007575758
23,153,0.098765432
23,17,0.026666667
23,64,0.087837838
23,79,0.011235955
23,80,0.007352941
23,59,0.038461538
23,55,0.206030151
23,136,0.042553191
23,82,0.004255319
23,83,0.014814815
23,58,0.188073394
23,22,0.289340102
23,84,0.00862069
23,26,0.023346304
23,6,0.272727273
23,86,0.034722222
23,87,0.018656716
23,29,0.007407407
23,164,0.215469613
23,166,0.240641711
23,89,0.008849558
23,155,0.007407407
23,60,0.098765432
23,61,0.206030151
23,133,0.017964072
23,91,0.013157895
23,88,0.013888889
23,134,0.007142857
23,93,0.013100437
23,94,0.086705202
23,127,0.00729927
23,25,0.26146789
23,165,0.128078818
23,92,0.016064257
23,40,0.075581395
23,97,0.004201681
23,41,0.210784314
23,35,0.095505618
23,99,0.004166667
24,37,0.023952096
24,5,0.01010101
24,52,0.075949367
24,144,0.173913043
24,165,0.1
24,140,0.041666667
24,101,0.139534884
24,21,0.045454545
24,69,0.083333333
24,145,0.133333333
24,45,0.1
24,126,0.103448276
24,102,0.140350877
24,100,0.105263158
24,167,0.103448276
25,2,0.268181818
25,153,0.098837209
25,103,0.006944444
25,135,0.006802721
25,6,0.294294294
25,7,0.18957346
25,9,0.203883495
25,74,0.132352941
25,10,0.306220096
25,11,0.016194332
25,12,0.003521127
25,14,0.112903226
25,76,0.004166667
25,15,0.256038647
25,77,0.186170213
25,105,0.006993007
25,4,0.006578947
25,17,0.064516129
25,64,0.068322981
25,80,0.006802721
25,54,0.006711409
25,55,0.156682028
25,165,0.100917431
25,83,0.006802721
25,58,0.285714286
25,22,0.210045662
25,59,0.017647059
25,26,0.018587361
25,86,0.066666667
25,29,0.020833333
25,142,0.01369863
25,164,0.137931034
25,166,0.239795918
25,33,0.013888889
25,60,0.08
25,61,0.218446602
25,133,0.005555556
25,91,0.02484472
25,35,0.144444444
25,92,0.015384615
25,94,0.130681818
25,127,0.006756757
25,95,0.006756757
25,136,0.012820513
25,40,0.113636364
25,97,0.016260163
25,41,0.172727273
25,155,0.020833333
25,99,0.003984064
62,12,0.00621118
