node_1,node_2,,
1,2,0.013888889,1
1,3,0.045454545,1
1,4,0.038461538,1
1,5,0.041237113,1
1,6,0.039473684,1
1,7,0.045454545,1
1,8,0.027777778,1
1,9,0.02,1
1,10,0.038167939,1
1,11,0.012048193,1
1,12,0.017241379,1
1,13,0.024390244,1
1,14,0.052631579,1
1,15,0.018867925,1
1,16,0.055555556,1
1,17,0.01754386,1
1,18,0.033333333,1
1,19,0.021276596,1
1,20,0.006944444,1
1,21,0.016129032,1
1,22,0.058252427,1
1,23,0.035714286,1
1,24,0.046875,1
1,25,0.059210526,1
1,26,0.018518519,1
1,27,0.019047619,1
1,28,0.027027027,1
1,29,0.055555556,1
1,30,0.041666667,1
1,31,0.044444444,1
1,32,0.021276596,1
1,33,0.046153846,1
1,34,0.014388489,1
1,35,0.042253521,1
1,36,0.015151515,1
1,37,0.025210084,1
1,38,0.130434783,1
1,39,0.032258065,1
1,40,0.045454545,1
1,41,0.02,1
42,19,0.038461538,1
42,24,0.022222222,1
42,20,0.008130081,1
42,37,0.01,1
42,36,0.022222222,1
18,28,0.037037037,1
18,5,0.122641509,1
18,31,0.083333333,1
18,8,0.1,1
18,43,0.018181818,1
18,44,0.13559322,1
18,19,0.157894737,1
18,13,0.276595745,1
18,20,0.086666667,1
18,34,0.081632653,1
18,21,0.14084507,1
18,36,0.197183099,1
18,24,0.148648649,1
18,16,0.044444444,1
18,45,0.04,1
18,37,0.111111111,1
18,32,0.064516129,1
18,38,0.073170732,1
18,46,0.033333333,1
47,48,0.021276596,1
47,49,0.035714286,1
50,2,0.011976048,1
50,51,0.042105263,1
50,4,0.0234375,1
50,6,0.021084337,1
50,52,0.0125,1
50,27,0.023622047,1
50,33,0.045977011,1
50,11,0.009433962,1
50,49,0.311688312,1
50,14,0.009803922,1
50,15,0.015503876,1
50,53,0.02173913,1
50,17,0.025316456,1
50,54,0.027777778,1
50,55,0.016129032,1
50,56,0.025210084,1
50,57,0.016393443,1
50,58,0.022727273,1
50,22,0.015384615,1
50,7,0.014705882,1
50,25,0.010989011,1
50,59,0.02173913,1
50,10,0.012738854,1
50,60,0.038461538,1
50,61,0.01980198,1
50,35,0.010416667,1
50,62,0.052631579,1
50,48,0.148760331,1
50,40,0.014705882,1
50,41,0.016260163,1
63,51,0.018518519,1
63,4,0.011627907,1
63,6,0.003401361,1
63,27,0.011764706,1
63,10,0.00877193,1
63,33,0.02173913,1
63,14,0.017241379,1
63,35,0.019230769,1
63,58,0.022222222,1
63,22,0.011494253,1
63,25,0.007194245,1
63,64,0.043478261,1
63,15,0.011627907,1
65,48,0.021276596,1
65,40,0.083333333,1
65,39,0.090909091,1
66,52,0.008547009,1
66,67,0.015625,1
66,68,0.04,1
66,69,0.014705882,1
66,70,0.022727273,1
71,6,0.003401361,1
71,25,0.007194245,1
71,10,0.00877193,1
71,54,0.015151515,1
72,4,0.011627907,1
72,6,0.003401361,1
72,27,0.011764706,1
72,33,0.02173913,1
72,12,0.010416667,1
72,61,0.017241379,1
72,35,0.019230769,1
72,17,0.027777778,1
19,28,0.05,1
19,5,0.060606061,1
19,31,0.243902439,1
19,8,0.051282051,1
19,20,0.095588235,1
19,44,0.127659574,1
19,13,0.095238095,1
19,43,0.05,1
19,34,0.082089552,1
19,21,0.196428571,1
19,36,0.163934426,1
19,16,0.111111111,1
19,24,0.183333333,1
19,37,0.086206897,1
19,32,0.155555556,1
19,38,0.034482759,1
19,46,0.170731707,1
56,2,0.063492063,1
56,51,0.11965812,1
56,4,0.086666667,1
56,73,0.012658228,1
56,7,0.01,1
56,27,0.072847682,1
56,9,0.104166667,1
56,74,0.025,1
56,10,0.067039106,1
56,11,0.299065421,1
56,12,0.153333333,1
56,75,0.025641026,1
56,14,0.0546875,1
56,76,0.025,1
56,15,0.038216561,1
56,77,0.065217391,1
56,17,0.046296296,1
56,78,0.012820513,1
56,79,0.037037037,1
56,80,0.025974026,1
56,54,0.067164179,1
56,64,0.030927835,1
56,81,0.025316456,1
56,82,0.086538462,1
56,55,0.039473684,1
56,83,0.012195122,1
56,57,0.032967033,1
56,58,0.089285714,1
56,22,0.051282051,1
56,23,0.097087379,1
56,84,0.161290323,1
56,26,0.047619048,1
56,85,0.037974684,1
56,6,0.100890208,1
56,86,0.0125,1
56,87,0.136363636,1
56,29,0.033333333,1
56,88,0.05952381,1
56,89,0.050632911,1
56,33,0.098214286,1
56,90,0.086419753,1
56,61,0.038461538,1
56,91,0.012820513,1
56,35,0.102564103,1
56,92,0.122222222,1
56,93,0.131313131,1
56,94,0.033333333,1
56,95,0.012048193,1
56,25,0.064039409,1
56,60,0.036144578,1
56,96,0.012987013,1
56,40,0.02020202,1
56,97,0.120879121,1
56,41,0.032894737,1
56,98,0.11827957,1
56,99,0.120481928,1
100,37,0.01,1
100,5,0.012658228,1
100,101,0.142857143,1
100,20,0.008130081,1
100,34,0.008403361,1
100,24,0.022222222,1
100,102,0.111111111,1
23,2,0.059602649,1
23,51,0.058823529,1
23,103,0.052631579,1
23,6,0.074918567,1
23,7,0.071428571,1
23,27,0.025423729,1
23,9,0.160714286,1
23,74,0.025,1
23,10,0.041666667,1
23,11,0.042553191,1
23,12,0.081967213,1
23,14,0.119047619,1
23,98,0.06779661,1
23,15,0.025210084,1
23,77,0.055555556,1
23,4,0.051724138,1
23,17,0.028571429,1
23,64,0.017241379,1
23,79,0.048780488,1
23,54,0.00990099,1
23,55,0.044642857,1
23,82,0.028571429,1
23,58,0.109589041,1
23,22,0.051282051,1
23,84,0.045112782,1
23,26,0.029850746,1
23,87,0.053571429,1
23,29,0.083333333,1
23,88,0.043478261,1
23,33,0.064935065,1
23,90,0.093023256,1
23,61,0.044444444,1
23,35,0.060240964,1
23,92,0.052631579,1
23,93,0.075757576,1
23,95,0.023809524,1
23,25,0.073619632,1
23,60,0.022727273,1
23,96,0.027777778,1
23,97,0.016666667,1
23,41,0.054545455,1
23,99,0.04,1
24,8,0.052631579,1
24,36,0.216216216,1
24,13,0.06557377,1
24,101,0.04,1
24,16,0.1,1
24,45,0.017857143,1
24,5,0.097345133,1
24,20,0.191489362,1
24,21,0.194444444,1
24,38,0.042553191,1
24,28,0.051724138,1
24,31,0.166666667,1
24,32,0.126984127,1
24,44,0.2,1
24,43,0.033898305,1
24,34,0.154929577,1
24,37,0.18852459,1
24,102,0.038461538,1
24,46,0.098360656,1
25,2,0.32160804,1
25,51,0.09039548,1
25,103,0.007042254,1
25,6,0.344720497,1
25,7,0.093959732,1
25,27,0.12,1
25,9,0.070063694,1
25,104,0.007194245,1
25,10,0.382513661,1
25,11,0.086486486,1
25,12,0.02173913,1
